FinDate,Institutional_sector_name,Institutional_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Status,Values
31-Dec-2017,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Consumption of fixed capital,P051C00,AN10000,FINAL,-21608
31-Dec-2008,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,1434
31-Dec-2009,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,64
31-Dec-2010,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,-1156
31-Dec-2011,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,454
31-Dec-2012,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,754
31-Dec-2013,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,777
31-Dec-2014,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,1814
31-Dec-2015,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,1380
31-Dec-2016,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,REVISED,617
31-Dec-2017,Corporate business enterprises,141,Capital Account Net transactions in produced non-financial assets Change in inventories,P052000,AN10000,FINAL,1443
31-Dec-2008,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,6949
31-Dec-2009,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,6010
31-Dec-2010,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,-400
31-Dec-2011,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,2115
31-Dec-2012,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,5632
31-Dec-2013,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,4687
31-Dec-2014,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,6735
31-Dec-2015,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,REVISED,7541
31-Dec-2016,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,REVISED,6469
31-Dec-2017,Corporate business enterprises,141,Capital Account Total net transactions in produced non-financial assets,P051000,AN10000,FINAL,6797
31-Dec-2008,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-379
31-Dec-2009,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-69
31-Dec-2010,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-298
31-Dec-2011,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,FINAL,-224
31-Dec-2012,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-152
31-Dec-2013,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-472
31-Dec-2014,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-339
31-Dec-2015,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-111
31-Dec-2016,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-259
31-Dec-2017,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,FINAL,-324
31-Dec-2008,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-8
31-Dec-2009,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-1145
31-Dec-2010,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-34
31-Dec-2011,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-81
31-Dec-2012,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-75
31-Dec-2013,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,2
31-Dec-2014,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-76
31-Dec-2015,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,234
31-Dec-2016,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,REVISED,-340
31-Dec-2017,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-67
31-Dec-2008,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-387
31-Dec-2009,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-1214
31-Dec-2010,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-332
31-Dec-2011,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,FINAL,-305
31-Dec-2012,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-227
31-Dec-2013,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-470
31-Dec-2014,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-415
31-Dec-2015,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,123
31-Dec-2016,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-599
31-Dec-2017,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,FINAL,-391
31-Dec-2008,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,-1451
31-Dec-2009,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,-1847
31-Dec-2010,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,4232
31-Dec-2011,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,957
31-Dec-2012,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,359
31-Dec-2013,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,1802
31-Dec-2014,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,5487
31-Dec-2015,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,6773
31-Dec-2016,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,7118
31-Dec-2017,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,4715
31-Dec-2008,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-267
31-Dec-2009,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-196
31-Dec-2010,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-178
31-Dec-2011,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-142
31-Dec-2012,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-145
31-Dec-2013,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-189
31-Dec-2014,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-260
31-Dec-2015,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-276
31-Dec-2016,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-322
31-Dec-2017,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-381
31-Dec-2008,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-630
31-Dec-2009,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-543
31-Dec-2010,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-359
31-Dec-2011,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,4198
31-Dec-2012,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,81
31-Dec-2013,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-160
31-Dec-2014,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-174
31-Dec-2015,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-286
31-Dec-2016,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-385
31-Dec-2017,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,281
31-Dec-2008,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-8924
31-Dec-2009,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-7375
31-Dec-2010,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,4431
31-Dec-2011,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,3202
31-Dec-2012,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-5123
31-Dec-2013,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-2753
31-Dec-2014,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-1305
31-Dec-2015,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-1448
31-Dec-2016,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,534
